,M10,M12,M14,M15,M16,M17,M18,M19,M2,M20,M21,M23,M24,M25,M26,M27,M28,M29,M3,M30,M31,M33,M35,M36,M37,M38,M39,M4,M40,M41,M43,M44,M45,M46,M47,M48,M5,M6,M7,M8,M9,P10,P12,P14,P15,P16,P17,P18,P19,P2,P20,P21,P23,P24,P25,P26,P27,P28,P29,P3,P30,P31,P33,P35,P36,P37,P38,P39,P4,P40,P41,P43,P44,P45,P46,P47,P48,P5,P6,P7,P8,P9
8.061111111,0,0,7987627.534,0,0,6194918.979,0,0,0,0,0,0,38786118.94,0,0,0,0,13872032.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144565065.9,0,23878813.39,0,0,0,0,0,0,0,0,0,0,4584709.048,0,0,0,0,0,0,7221684.464,0,11003964.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.23,0,0,1421525.881,0,0,0,0,0,0,0,0,0,0,0,0,0,5505380.097,0,0,1090658.848,0,0,0,0,0,0,0,0,0,0,0,1440072.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216026.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.307142857,0,1002637.576,0,0,1008066.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852752.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1316333.564,0,0,0,0,0,0,0,0,0,0,0,0,1421386.773,1365303.458,0,0,0,0,0,0,2071943.061,0,0,0,0,0,0,0,0,0,0,0,0
8.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1862527.17,0,0,0,0,0,0,0,994317.39,0,0,0,0,0,0,0,1370256.714,0,0,0,0,1003637.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1353381.78,0,0,0
8.47375,0,0,0,0,1783170.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2950040.407,0,0,0,0,0,0,19533001.39,7247631.34,0,12727182.91,0,8572102.743,0,0,0,7874387.019,0,13963547.24,0,0,0,3629705.932,0,0,0,37781852.8,0,0,0,0,0,0,67243696.95,0,0,1665317.066,0,0,5586160.62,0,0,0,0,0,0,0,0,26604920.46,0,0,0,0,0,41034624.36,45144882.72,0,0,0,0,0,0,0
8.516153846,1715546.836,0,0,0,779098.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5352180.756,2568031.381,0,0,0,0,0,0,0,0,3470326.232,0,2902386.838,0,0,0,0,0,7731076.834,0,0,0,4036315.726,0,950367.196,0,0,0,0,0,0,4153511.031,0,0,0,0,14448012.24,0,7661548.004,0,0,3796772.739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.545666667,0,3838621.697,0,0,3726332.261,0,0,0,0,861314.089,0,0,2455824.286,0,0,0,0,0,0,0,0,0,0,0,1787267.608,0,0,0,0,1525157.356,0,0,0,0,828404.522,0,0,0,0,0,0,0,0,0,852691.263,0,0,1482226.722,0,0,0,0,0,0,0,1191001.94,0,799109.403,3352593.734,1618798.258,0,0,0,0,0,0,0,0,0,1631405.507,2193298.214,0,0,0,0,0,0,0,0,0,0,0
8.904761905,4910808.336,0,0,0,0,0,0,0,0,0,0,0,0,8072020.046,0,0,0,0,0,5631314.498,0,0,5957436.448,0,0,0,0,4091696.336,15395147.27,0,0,9754508.921,0,0,0,7953086.34,0,0,0,2636776.279,0,0,0,0,0,0,0,0,0,5594121.752,0,0,0,2393084.104,0,0,0,5763677.333,0,0,0,0,0,11250464.56,6379632.309,0,0,22882781.07,5389614.478,0,11611350.42,0,17512834.83,48211784.11,34116727.65,0,0,0,0,0,3930357.058,0
8.99,1235318.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3067552.107,0,0,0,5307517.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.26,0,0,0,0,0,0,0,0,0,0,0,0,3990471.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2844703.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2661414.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.693125,0,2195693.563,0,0,0,0,2006139.151,2345982.523,4258883.819,0,0,13077146.56,4310666.366,0,2285755.884,0,4131186.498,0,0,0,4397219.566,0,0,4683478.514,1150586.942,2023914.698,0,0,1889892.387,0,0,0,8042832.421,13486840.1,0,0,0,0,0,0,7698789.375,0,0,0,0,5913033.132,0,0,0,0,0,0,0,0,0,1716529.374,0,0,0,0,7275401.361,0,0,0,0,0,3848817.488,0,0,0,1995063.538,0,4627386.874,0,7859172.351,0,0,0,0,0,0,4587684.021
9.7,0,430968.753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3169633.289,0,0,0,0,2749155.32,0,0,0,0,0,0,1698702.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8015485.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.755306122,4052972.614,5920595.974,0,0,3569983.854,0,1773798.355,4135963.865,4837871.04,0,2691375.777,7529634.315,7917153.197,0,3591609.155,0,3260364.532,0,5729900.246,0,5822851.375,0,4620039.261,5057402.449,6984112.466,2019590.502,1677460.012,0,1088142.081,0,4597400.784,2011180.18,16283652.99,10632797.3,0,5183381.106,3849490.246,2814269.442,1710888.457,0,0,0,9419673.968,0,0,6831052.579,0,0,0,0,0,5059133.182,0,0,0,3101190.305,0,4303600.995,8820791.204,0,0,3488854.912,11243916.09,3223750.689,0,15041447.12,2570495.982,8404613.918,0,2421907.887,2992267.414,5403114.184,3923175.172,37092179.02,5340835.797,5147198.578,0,0,9349613.33,5039509.356,0,3017028.285
9.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1716137.495,0,0,0,0,0,0,0,0,2596453.523,1929939.878,0,0,0,0,0,0,0,0,0,0,0,0,0,15746498.71,0,0,0,4590288.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.89,0,0,0,0,0,0,0,0,6953875.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5568939.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5392636.807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
