w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12;w13;w14;w15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RT;start_rt;end_rt;area;rel_area;height;rel_height;RT;start_rt;end_rt;area;rel_area;height;rel_height;RT;start_rt;end_rt;area;rel_area;height;rel_height;RT;start_rt;end_rt;area;rel_area;height;rel_height;RT;start_rt;end_rt;area;rel_area;height;rel_height;RT;start_rt;end_rt;area;rel_area;height;rel_height;RT;start_rt;end_rt;area;rel_area;height;rel_height;RT;start_rt;end_rt;area;rel_area;height;rel_height;RT;start_rt;end_rt;area;rel_area;height;rel_height;RT;start_rt;end_rt;area;rel_area;height;rel_height;RT;start_rt;end_rt;area;rel_area;height;rel_height;RT;start_rt;end_rt;area;rel_area;height;rel_height;RT;start_rt;end_rt;area;rel_area;height;rel_height;RT;start_rt;end_rt;area;rel_area;height;rel_height;RT;start_rt;end_rt;area;rel_area;height;rel_height
0,5;0,36;0,54;9610;0,21;2303;0,18;0,84;0,79;0,96;39632;0,89;18149;1,6;0,84;0,79;0,95;3823;0,04;1739;0,13;0,18;0,12;0,33;3977;0,1;1003;0,12;0,84;0,79;1,06;16686;0,4;8015;1,01;0,58;0,46;0,63;1785;0,21;0,58;0,21;0,16;0,11;0,32;15042;0,19;3963;0,19;0,56;0,45;0,77;5589;0,23;0,97;0,17;0,82;0,78;1,05;0,686;0,04;0,227;0,08;0,82;0,76;0,94;10064;0,19;4587;0,47;0,82;0,77;0,94;16295;0,27;7866;0,74;0,16;0,11;0,32;8002;0,2;2156;0,18;0,16;0,11;0,32;4785;0,13;1210;0,14;0,56;0,44;0,77;15864;0,34;2898;0,25;0,56;0,44;0,61;17643;0,21;5289;0,27
0,58;0,54;0,79;15923;0,34;3633;0,28;1,59;1,52;1,68;8699;0,2;4233;0,37;5;4,97;5,27;10592;0,11;1153;0,09;0,58;0,46;0,63;6883;0,18;2135;0,25;1,59;1,51;1,67;4212;0,1;2150;0,27;0,84;0,63;0,95;7938;0,91;3106;1,11;0,48;0,44;0,51;6576;0,08;2755;0,13;0,82;0,77;0,93;8130;0,33;3731;0,65;6,49;6,32;6,64;1669;0,1;0,229;0,08;1,57;1,51;1,66;3646;0,07;1810;0,19;1,57;1,51;1,65;3595;0,06;1855;0,18;0,4;0,33;0,44;5051;0,13;2100;0,18;0,56;0,45;0,62;9073;0,25;2784;0,31;0,82;0,77;0,93;30453;0,65;14361;1,25;0,65;0,61;0,68;5512;0,06;2322;0,12
0,84;0,79;0,96;45961;0,98;21827;1,69;1,9;1,85;2,23;8911;0,2;3039;0,27;5,41;5,38;5,92;10793;0,11;1714;0,13;0,67;0,63;0,7;2349;0,06;0,99;0,12;1,89;1,84;2,21;4636;0,11;1381;0,17;1,58;1,51;1,67;3858;0,44;1967;0,71;0,56;0,51;0,62;27749;0,35;9490;0,45;1,57;1,5;1,65;3736;0,15;1857;0,32;6,67;6,64;6,71;1002;0,06;0,645;0,24;1,88;1,83;2,2;3839;0,07;1085;0,11;1,88;1,83;2,2;4566;0,07;1183;0,11;0,48;0,44;0,51;5708;0,14;2622;0,22;0,65;0,62;0,68;2692;0,08;1200;0,14;1,57;1,5;1,76;14809;0,31;7250;0,63;0,73;0,68;0,77;6606;0,08;2410;0,12
1,59;1,52;1,68;18337;0,39;9456;0,73;2,68;2,64;2,84;6757;0,15;3807;0,34;6,11;5,94;6,25;4655;0,05;1400;0,11;0,75;0,7;0,79;2818;0,07;1051;0,12;2,68;2,64;2,83;3756;0,09;2081;0,26;1,89;1,78;1,94;2617;0,3;1300;0,47;0,65;0,62;0,68;9685;0,12;4076;0,19;1,88;1,83;2,24;4972;0,2;1137;0,2;7,12;7,05;7,36;0,944;0,06;0,284;0,1;2,66;2,62;2,75;1825;0,04;1040;0,11;2,66;2,63;2,82;3058;0,05;1677;0,16;0,56;0,51;0,61;11064;0,28;4422;0,38;0,73;0,68;0,77;3302;0,09;1235;0,14;1,88;1,83;1,93;9252;0,2;4865;0,42;0,82;0,77;0,93;52318;0,61;24422;1,24
1,9;1,85;1,95;13021;0,28;6889;0,53;6,37;6,33;6,4;7833;0,18;2410;0,21;6,47;6,33;6,58;8842;0,09;1458;0,11;0,84;0,79;0,95;20280;0,53;9526;1,11;6,48;6,32;6,54;8557;0,2;1462;0,18;2,09;1,95;2,26;2954;0,34;0,755;0,27;0,73;0,68;0,77;11080;0,14;4046;0,19;2,47;2,4;2,59;3356;0,14;1095;0,19;7,58;7,39;7,61;0,916;0,05;0,235;0,09;6,09;6,03;6,19;2435;0,05;1023;0,11;6,35;6,31;6,38;3120;0,05;0,984;0,09;0,82;0,62;0,93;55450;1,4;24764;2,12;0,82;0,77;0,93;23552;0,66;11232;1,27;2,08;1,93;2,25;7101;0,15;1444;0,13;1,57;1,5;1,66;17365;0,2;8551;0,43
2,1;1,95;2,27;13644;0,29;2685;0,21;6,42;6,4;6,46;6543;0,15;2380;0,21;6,61;6,58;6,66;2607;0,03;1047;0,08;1,59;1,52;1,68;7784;0,2;3860;0,45;6,68;6,56;6,73;12111;0,29;7220;0,91;2,33;2,28;2,41;1639;0,19;0,566;0,2;0,82;0,77;0,87;72406;0,91;35678;1,69;2,66;2,61;2,89;3395;0,14;0,863;0,15;7,65;7,61;7,76;2432;0,14;1029;0,38;6,35;6,31;6,38;3453;0,07;1110;0,11;6,4;6,38;6,43;2871;0,05;1202;0,11;1,57;1,5;1,66;18622;0,47;9549;0,82;1,57;1,5;1,66;8679;0,24;4461;0,5;2,47;2,26;2,59;11747;0,25;2985;0,26;1,88;1,83;1,93;11379;0,13;5805;0,29
2,49;2,28;2,55;15355;0,33;4196;0,32;6,48;6,46;6,59;13854;0,31;3554;0,31;6,68;6,66;6,76;4221;0,04;2556;0,2;1,89;1,78;1,94;5948;0,15;2950;0,34;7,14;7,08;7,38;4158;0,1;1175;0,15;2,48;2,41;2,54;4071;0,47;1704;0,61;1,58;1,5;1,66;31840;0,4;16181;0,77;3,77;3,71;3,9;1713;0,07;0,708;0,12;7,92;7,82;8;0,597;0,04;0,231;0,09;6,4;6,38;6,43;2761;0,05;1234;0,13;6,46;6,43;6,64;9023;0,15;1635;0,15;1,88;1,83;1,93;12769;0,32;6652;0,57;1,88;1,83;1,92;5475;0,15;2952;0,33;2,66;2,6;2,89;10204;0,22;2966;0,26;2,08;1,93;2,25;12504;0,15;2758;0,14
2,58;2,55;2,62;3792;0,08;1975;0,15;6,61;6,59;6,63;3070;0,07;1826;0,16;7,13;7,09;7,38;6388;0,07;2196;0,17;2,09;1,94;2,26;4332;0,11;0,989;0,12;7,67;7,57;7,72;21934;0,52;11137;1,4;2,57;2,54;2,61;1535;0,18;0,745;0,27;1,88;1,83;1,92;20092;0,25;10855;0,51;4,07;4,02;4,36;5043;0,21;1109;0,19;10,73;10,64;10,83;2351;0,14;0,832;0,31;6,46;6,43;6,53;3256;0,06;1086;0,11;6,67;6,64;6,71;8942;0,15;5934;0,56;2,08;1,93;2,25;13305;0,34;2682;0,23;2,08;1,93;2,25;6658;0,19;1497;0,17;3,77;3,7;3,9;5552;0,12;2345;0,2;2,47;2,26;2,53;18533;0,22;5888;0,3
2,68;2,63;2,86;15411;0,33;6170;0,48;6,64;6,63;6,66;2251;0,05;1463;0,13;7,67;7,49;7,79;7805;0,08;2269;0,17;2,48;2,41;2,61;6292;0,16;2096;0,24;7,76;7,72;7,8;4843;0,12;2673;0,34;2,68;2,61;2,71;3322;0,38;1198;0,43;2,08;1,93;2,25;19105;0,24;4603;0,22;5,36;5,28;5,38;1567;0,06;0,855;0,15;10,96;10,85;11,08;1115;0,07;0,338;0,12;6,6;6,55;6,64;1930;0,04;0,929;0,1;7,12;7,06;7,36;5847;0,1;1638;0,16;2,47;2,26;2,53;14810;0,37;4154;0,36;2,31;2,26;2,39;3270;0,09;1170;0,13;4,07;4,02;4,56;19299;0,41;3004;0,26;2,56;2,53;2,59;4611;0,05;2448;0,12
3,23;3,2;3,29;3968;0,09;2447;0,19;6,69;6,66;6,73;26415;0,59;17606;1,55;7,94;7,84;7,99;12978;0,14;7058;0,54;2,68;2,62;2,91;6787;0,18;1801;0,21;7,95;7,85;8,19;349558;8,34;193155;24,25;2,75;2,71;2,91;2313;0,27;0,504;0,18;2,31;2,26;2,39;8138;0,1;2923;0,14;5,4;5,38;5,45;7271;0,3;3449;0,6;12,1;12;12,25;1744;0,1;0,406;0,15;6,67;6,64;6,71;6094;0,12;4036;0,41;7,65;7,55;7,71;19020;0,31;9895;0,94;2,56;2,53;2,6;3647;0,09;1929;0,17;2,47;2,39;2,53;8042;0,22;3316;0,37;5,36;5,28;5,38;4272;0,09;2260;0,2;2,66;2,6;2,89;20461;0,24;6012;0,31
