Compounds	MW	BFLA01	BFLA02	BFLA03	BFLA04	BFLA05	BFLA06	BFLA07	BFLA08	BFLA09	BFLA10	BFLA11
Hexadecanal	240	15.66	15.63	15.67	15.66	15.67	15.66	15.67	15.66	15.63	15.67	15.65
Hexadecenol	240	16.36	16.3	16.31	16.36	16.32	16.34	16.34	16.3	16.33	16.32	16.32
Farnesyl acetone	262	16.6	16.58	16.59	16.6	16.59	16.59	16.59	16.58	16.59	16.59	16.59
Ethyl hexadecenoate	282	17.36	17.38	17.35	17.36	17.36	17.35	17.36	17.35	17.35	17.36	17.36
Ethyl hexadecanoate	284	17.5	17.5	17.51	17.5	17.5	17.5	17.5	17.5	17.5	17.5	17.5
Icosanal ?	296	17.66	17.66	17.66	17.66	17.66	17.65	17.66	17.65	17.65	17.66	17.66
Heneicosene	294	18.14	18.13	18.14	18.14	18.14	18.14	18.14	18.13	18.13	18.13	18.14
Heneicosene	294	18.2		18.19	18.2	18.19	18.19	18.2	18.19	18.19	18.19	18.2
Geranyl geraniol	290	18.28	18.27	18.27	18.28	18.27	18.27	18.28	18.27	18.27	18.27	18.28
Heneicosane	296	18.4	18.37	18.4	18.4	18.39	18.4	18.39	18.39	18.38	18.39	18.4
Geranyl citronellol	292	18.95	18.89	18.93	18.95	18.93	18.93	18.93	18.92	18.92	18.92	18.94
Ethyl octadecanoate	312	19.14	19.05	19.1	19.14	19.09	19.08	19.11	19.08	19.07	19.07	19.14
Geranylgeranial 	288	19.3	19.25	19.25	19.3	19.25	19.24	19.28	19.24	19.25	19.24	19.29
Geranylgeranial	288	19.59	19.5	19.52	19.59	19.52	19.5	19.55	19.51	19.52	19.51	19.58
Geranyl citronellyl acetate	334	19.8	19.78	19.81	19.8	19.79	19.78	19.77			19.77	19.78
Tricosene	322	20.17	20.17	20.21	20.17	20.19	20.2	20.19	20.19	20.17	20.2	20.2
Tricosane	324	20.23	20.69		20.23			20.71	20.71	20.7	20.71	20.71
Tetracosene II	336	20.78	20.73	20.77	20.78	20.77	20.77	20.77	20.77	20.76	20.77	20.77
Tetracosene II	336	20.93	20.92	20.93	20.93	20.92	20.92	20.92	20.92	20.92	20.92	20.92
Tetracosane	338	20.98	20.97	20.97	20.98	20.97	20.97	20.97	20.97	20.97	20.97	20.97
Pentacosadiene	348	21.41	21.4	21.41	21.41	21.41	21.41	21.41	21.4	21.4	21.41	21.41
Pentacosene	350					21.55	21.55					21.55
Pentacosene	350	21.61	21.58	21.6	21.61	21.59	21.59	21.58	21.59	21.58	21.59	21.59
Pentacosane	352	21.81	21.78	21.8	21.81	21.79	21.79	21.78	21.78	21.78	21.8	21.79
Heptacosene I	378	23.06	23.05	23.06	23.06	23.05	23.05	23.05	23.05	23.05	23.05	23.05
Heptacosene II	378	23.12	23.11	23.11	23.12	23.11	23.11	23.11	23.1	23.1	23.11	23.11
Heptacosene III	NA		23.16					23.16	23.15	23.16		
Heptacosane	380	23.29	23.28	23.29	23.29	23.29	23.29	23.28	23.28	23.28	23.29	23.29
Hexadecyl decanoate	396	23.83	23.79	23.81	23.83	23.81	23.82	23.81	23.81	23.8	23.81	23.81
Nonacosene	406	24.46	24.46	24.47	24.46	24.46	24.46	24.46	24.46	24.46	24.46	24.46
Nonacosene	406	24.53	24.53	24.53	24.53	24.53	24.53	24.53	24.52	24.53	24.53	24.53
Nonacosane	408	24.68	24.67	24.68	24.68	24.67	24.68	24.67	24.67	24.67	24.68	24.68
Hexadecyl dodecenoate	422		25.08		25.06	25.06	25.06		25.06			
Hexadecyl dodecanoate	424	25.16	25.14	25.16	25.16	25.16	25.15	25.15	25.15	25.14	25.15	25.15
Geranyl citronellyl decanoate	446	25.44	25.43	25.44	25.44	25.44	25.44	25.44	25.43	25.43	25.43	25.44
Hentriacontadiene	432	25.67	25.67	25.67	25.67	25.67	25.67	25.67	25.67	25.67	25.67	25.67
Hexadecyl tetradecanoate	452	25.85	25.85	25.85	25.85	25.85	25.85	25.85	25.85	25.85	25.85	25.85
Geranylcitronellyl dodecanoate	474	26.4	26.4	26.4	26.4	26.4	26.4	26.4	26.4	26.4	26.4	26.4
Hexadecyl hexadecenoate	478	27.57	27.57	27.57	27.57	27.57	27.57	27.57	27.57	27.57	27.57	27.57
Hexadecyl hexadecanoate	480	27.65	27.64	27.64	27.65	27.65	27.65	27.65	27.65	27.64	27.65	27.64
Hexadecyl octadecenoate	506	28.99	28.98	28.99	28.99	28.99	28.99	28.99	28.99	28.99	28.99	28.99
Hexadecyl octadecatrienoate	502	29.1	29.1	29.1	29.1	29.1	29.11	29.1	29.1	29.1	29.1	29.1
Geranylcitronellyl hexadecenoate	528	29.46	29.45	29.46	29.46	29.46	29.46	29.46	29.46	29.46	29.46	29.46
Geranylcitronellyl hexadecanoate	530	29.55	29.55	29.55	29.55	29.55	29.55	29.55	29.55	29.55	29.55	29.55
