C3	C2	M2	M3	M4	M5	M6	M7	M8	M9	M10	M12	M14	M15	M16	M17	M18	M19	M20	M21	M23	M24	M25	M26	M27	M28	M29	M30	M31	M33	M35	M36	M37	M38	M39	M40	M41	M43	M44	M45	M46	M47	M48	P2	P3	P4	P5	P6	P7	P8	P9	P10	P12	P14	P15	P16	P17	P18	P19	P20	P21	P23	P24	P25	P26	P27	P28	P29	P30	P31	P33	P35	P36	P37	P38	P39	P40	P41	P43	P44	P45	P46	P47	P48																																																																																				
time	area																																																																																																																																																																						
4.53	3331223.87	4.52	2695110.162	4.54	1479852.841	4.54	3775130.908	4.54	2014805.03	4.54	1873911.174	4.57	2186742.481	4.51	6612841.026	4.52	2125387.879	4.54	1832197.154	4.59	14562330.42	4.52	3234536.011	4.61	2576363.826	4.55	6157906.897	4.51	3267638.799	4.55	5993539.468	4.59	2293100.979	4.52	5904508.503	4.54	2442085.083	4.52	2966421.03	4.53	3148330.214	4.54	8229863.828	4.61	5096529.83	4.51	5453216.091	4.51	3826362.682	4.53	1564884.474	4.52	8491518.737	4.59	4310009.313	4.51	2690879.999	4.56	17987839.14	4.53	1913940.971	4.58	5135879.504	4.56	1538896.957	4.53	1203030.792	4.52	2859291.766	4.62	3019624.843	4.58	5034474.362	4.54	5287278.768	4.56	3004439.441	4.55	7839495.885	4.55	4186720.594	4.54	1431386.623	4.54	4702071.294	4.54	1569903.783	4.57	2340600.409	4.53	1241644.575	4.54	2640081.217	4.51	4855818.881	4.52	4205501.83	4.6	2814436.723	4.57	2119843.94	4.63	11600356.68	4.54	2577297.325	4.52	1784442.109	4.64	2450707.748	4.54	2399966.626	4.55	4349512.864	4.54	1172153.933	4.52	4302849.836	4.58	1934925.708	4.53	10895324.39	4.55	5302229.469	4.57	16605264.15	4.56	2748861.201	4.56	2933368.253	4.53	5644841.652	4.53	2426480.784	4.53	2179751.322	4.57	4877080.645	4.53	4254603.741	4.51	3819487.045	4.51	2600806.483	4.57	2881682.876	4.55	3060745.178	4.53	2654587.798	4.51	3595850.087	4.54	2105286.066	4.64	1060882.56	4.56	4094549.088	4.52	1504465.679	4.68	4570111.52	4.55	1675535.699	4.54	2101458.705	4.54	7924152.389
4.55	1462381.26	4.55	5926253.181	4.63	2502156.125	4.62	12539669.79	4.59	1324956.033	4.61	9843589.007	4.59	8742434.618	4.55	3946204.096	4.54	2034726.488	4.58	2801325.104	4.66	2738281.364	4.58	12823638.3	4.64	3323403.609	4.61	7287058.086	4.54	6164850.369	4.61	6719215.647	4.64	4201080.242	4.54	9530919.233	4.55	2423713.854	4.55	1480965.1	4.57	9227215.132	4.63	6687650.356	4.68	11118556.56	4.57	11068294.83	4.53	4150063.124	4.59	7968270.073	4.54	8530522.284	4.63	4329614.558	4.55	3985467.188	4.65	5339982.082	4.57	4977802.294	4.63	5222299.484	4.6	10634925.25	4.55	1908280.851	4.6	8880205.866	4.67	3566253.998	4.64	5084330.229	4.57	2119066.31	4.64	3922489.602	4.62	8450631.637	4.7	8041720.385	4.55	4544411.991	4.58	7745950.414	4.56	2133789.224	4.62	3674763.603	4.6	8547931.502	4.58	2512120.976	4.54	1950931.335	4.56	7080843.87	4.66	2378429.357	4.64	2834855.805	4.7	6987205.331	4.6	5254931.167	4.56	2671264.598	4.66	1407284.252	4.6	15293787.72	4.59	6557089.964	4.56	1219292.899	4.55	2226881.207	4.66	917888.797	4.58	10338385.87	4.6	3784062.629	4.6	2925294.519	4.59	1546164.603	4.57	2335823.901	4.57	1535743.58	4.57	4286807.01	4.57	12325893.86	4.62	4930766.751	4.58	5891556.633	4.55	6587533.516	4.59	3275305.785	4.6	7437774.322	4.62	4421725.437	4.61	7158094.215	4.6	7341820.917	4.55	1560454.293	4.72	4375658.745	4.62	10063401.71	4.57	2315456.626	4.72	3371554.868	4.64	2820107.412	4.55	3350021.511	4.61	11620668.07
4.62	4834211.122	4.57	10406832.77	4.69	10823296.51	4.74	5189197.901	4.61	1736331.214	4.65	3327512.136	4.65	14332461.5	4.6	6552404.348	4.58	3657571.864	4.63	1195952.771	4.71	3962319.387	4.64	10625399.38	4.69	2721145.347	4.73	14893164.18	4.6	10850970.84	4.69	2754381.203	4.7	2940373.826	4.59	8239093.61	4.59	6477347.982	4.61	8133253.331	4.6	7289933.079	4.67	9376755.059	4.79	9797060.958	4.62	2854087.498	4.59	6206286.74	4.64	3282705.299	4.59	9879480.782	4.69	16358174.25	4.6	8297053.639	4.67	2856136.233	4.65	7870032.21	4.68	4792971.595	4.66	12681208.94	4.6	1027307.489	4.64	1170651.684	4.71	1689365.929	4.69	1785597.492	4.65	10823394.25	4.68	6219787.614	4.7	9024717.163	4.77	4250346.306	4.65	5878801.196	4.67	12147749.36	4.65	3321387.926	4.68	5048814.432	4.64	992625.34	4.62	4831087.673	4.56	1610460.643	4.65	14336434.97	4.69	1308127.629	4.69	1878227.998	4.79	7725160.837	4.62	2252013.517	4.59	4350587.24	4.79	1682267.966	4.71	19887188.07	4.65	3202597.908	4.58	1382605.984	4.6	10103438.5	4.67	1824892.513	4.63	7709113.438	4.62	3095398.367	4.62	10002481.57	4.65	3656531.572	4.66	6730457.811	4.6	3016329.837	4.65	10856910	4.63	5035117.846	4.68	8059147.948	4.62	945578.258	4.58	4404224.257	4.68	5275668.485	4.66	4328909.079	4.68	8641815.317	4.65	6329377.189	4.65	5400592.497	4.62	5556707.524	4.76	3568447.663	4.68	3897841.564	4.6	3048378.118	4.77	2549115.403	4.68	1675539.207	4.63	7382097.033	4.63	3720857.202
4.68	7754401.312	4.67	6805904.637	4.77	11479344.52	4.8	11204277.15	4.65	5585376.714	4.71	7881994.13	4.72	3750990.466	4.68	8765882.406	4.62	1110459.225	4.67	3865202.771	4.75	2974772.488	4.68	5820865.322	4.74	1947698.707	4.82	1634743.442	4.63	5522176.178	4.73	2268176.046	4.75	5409435.096	4.62	3831008.363	4.64	1998540.005	4.65	11385399.77	4.64	12918065.37	4.79	9645068.912	4.84	10375074.34	4.68	9053111.24	4.65	5615187.087	4.68	1719237.044	4.65	3029519.988	4.84	15673434.66	4.65	6614029.931	4.72	6281893.637	4.69	2525133.706	4.72	7921417.868	4.7	4429689.537	4.64	4195684.761	4.68	7972008.037	4.73	996004.948	4.7	5718330.258	4.73	3585471.976	4.78	10715719.57	4.72	3025839.241	4.81	8347119.113	4.73	9393964.368	4.7	8359894.909	4.67	4002420.965	4.73	5489798.111	4.73	12338660.84	4.68	3362900.719	4.6	10415017.89	4.7	10896581.89	4.74	3306548.592	4.75	4137441.104	4.85	4676376.126	4.65	2949860.826	4.64	2330730.738	4.85	3327601.901	4.8	22668116.66	4.7	4842554.856	4.62	1498463.872	4.63	14622540.3	4.74	3018756.878	4.67	3211455.547	4.67	3107752.664	4.67	4786038.548	4.67	2996906.44	4.7	2191357.344	4.7	2397445.256	4.73	10606688.93	4.67	7566794.016	4.72	3634715.317	4.66	5885175.717	4.61	5590435.607	4.69	2493739.46	4.68	1206694.607	4.74	6178226.212	4.69	3394207.58	4.69	4093453.468	4.67	3559846.415	4.83	3126753.686	4.76	6245894.932	4.65	1396778.893	4.84	5097588.64	4.71	3956651.914	4.71	13333649.17	4.65	2406237.435
4.71	1267616.527	4.69	1672849.459	4.83	3303321.247	4.89	8428824.151	4.71	2880358.36	4.79	4063794.163	4.78	2197166.878	4.73	3181305.559	4.65	2737846.203	4.71	4483016.002	4.78	6551530.936	4.74	2737403.013	4.76	2258449.621	4.85	8268390.886	4.68	5314351.874	4.78	1602107.312	4.81	5507943.848	4.65	3120677.84	4.71	9846898.824	4.75	4537732.296	4.69	5847341.402	4.84	4687481.337	5.01	18577681.82	4.71	3812636.058	4.67	1651647.582	4.7	1411497.285	4.68	1952464.998	4.98	8992275.237	4.71	3359514.545	4.79	5322764.641	4.74	3268992.041	4.86	8930675.194	4.76	7914082.056	4.69	5332361.893	4.78	9868344.316	4.76	3857297.808	4.8	2265119.044	4.78	4811559.913	4.83	2720046.79	4.76	8004681.98	4.89	11574681.02	4.84	1577681.918	4.75	4210254.985	4.71	1322898.96	4.82	11882305.15	4.77	9995861.658	4.7	8466844.111	4.66	15278713.54	4.77	3344117.816	4.81	10073938.06	4.78	2399103.668	4.93	2527342.511	4.7	2453186.297	4.7	5919214.643	4.89	1423298.173	4.92	2991633.988	4.75	2125316.951	4.63	4396036.81	4.66	11817327.15	4.78	1118693.147	4.71	11299354.23	4.78	2817857.507	4.73	24645583.31	4.73	3678451.483	4.72	2712619.023	4.73	2168057.159	4.77	12892009.94	4.7	17556655.14	4.77	610294.566	4.75	6209968.975	4.63	4982235.144	4.79	11053639.43	4.71	5581503.652	4.8	2711480.643	4.79	7021089.806	4.77	5521873.58	4.73	4261053.771	4.86	3941717.714	4.81	5253393.62	4.7	4389761.532	4.91	3481125.763	4.76	6481234.904	4.76	4615801.952	4.71	6465727.726
4.79	10356487.01	4.73	1336403.617	4.88	8470285.59	4.99	7522924.057	4.78	8564916.443	4.83	2797480.443	4.79	1887155.129	4.77	2637168.318	4.67	4981043.32	4.75	7718566.373	4.84	3910139.657	4.76	1994787.536	4.79	3134119.319	4.96	6201378.338	4.7	7461454.881	4.79	1569711.614	4.86	5853450.47	4.68	18487860.58	4.79	13933879.5	4.83	3443921.459	4.71	5626130.747	4.86	4670558.467	5.06	5001340.34	4.76	12824444.48	4.69	3232221.129	4.8	20538709.74	4.72	10286192.57	5.03	7185262.84	4.77	9763691.454	4.81	1655867.018	4.76	1246773.631	4.87	3106488.732	4.82	8564364.041	4.75	10496021.33	4.81	4257703.065	4.83	7016967.614	4.83	3400448.576	4.86	2127158.128	4.9	6995267.795	4.82	4516594.848	4.93	1873737.739	4.87	1438287.303	4.8	13241445.86	4.73	2633028.848	4.91	1446058.202	4.85	6345267.867	4.78	2200395.051	4.73	12744158.87	4.8	4548221.845	4.91	5284847.082	4.8	2049956.588	4.97	2296578.565	4.72	3229529.119	4.8	6131371.167	4.91	827893.658	4.95	6063983.739	4.79	3769741.727	4.7	3405927.643	4.71	10112024.66	4.8	931460.72	4.78	1408857.413	4.85	1306532.101	4.82	1351499.612	4.79	5272508.096	4.78	4756327.629	4.74	5189543.498	4.94	16865020.85	4.81	15881120.45	4.79	3981932.825	4.82	7502497.521	4.71	13261945.31	4.85	4317088.114	4.87	18635362.31	4.83	5658351.43	4.82	10897498.61	4.79	5405829.884	4.75	7581119.913	4.9	1631667.442	4.84	14017791	4.72	2508178.421	4.95	4746476.285	4.82	9113739.833	4.82	8867117.747	4.72	1935420.209
4.83	5910612.428	4.75	2746507.396	4.91	4985209.227	5.06	3763026.991	4.84	2694407.381	4.9	3691428.641	4.83	5146603.314	4.82	3028165.729	4.73	3591190.078	4.81	10291245.08	4.9	5660104.503	4.84	2434007.461	4.87	4266232.631	5.03	6410167.377	4.78	9153114.446	4.83	3005454.377	4.94	9023699.09	4.83	8767146.403	4.86	5239455.612	4.9	4390589.162	4.76	6306764.886	4.91	10629690.33	5.17	12295000.96	4.83	11179576.41	4.74	3321215.514	4.91	4972274.623	4.73	2996133.453	5.15	12424005.38	4.85	4797221.199	4.82	3974275.473	4.82	9377332.868	4.91	7402946.994	4.87	1390540.637	4.83	6543376.939	4.85	7116674.416	4.92	2442654.845	4.88	926338.218	4.9	2449497.689	4.95	3411172.46	4.89	7558905.03	4.99	7398937.618	4.96	2956885.179	4.87	11198317.99	4.78	4608802.051	4.98	5826527.47	4.96	6169824.72	4.82	6928181.92	4.82	3865532.119	4.84	3129763.604	4.98	2590868.893	4.83	2897132.866	5.01	5084880.276	4.76	2612478.536	4.88	4986803.495	4.98	1194324.727	5	9351549.203	4.83	1971071.92	4.74	2980659.025	4.79	15647603.46	4.83	1470240.732	4.82	4457922.974	4.87	1735017.6	4.85	4056372.371	4.83	4860405.543	4.8	3835200.683	4.8	1285607.193	4.97	20196511.89	4.88	5833018.971	4.85	1857392.53	4.88	8057471.966	4.77	15925442.99	4.9	6939139.967	4.91	4824648.402	4.87	1612804.006	4.95	7814382.987	4.85	6494274.163	4.83	7542090.567	4.94	5803622.204	4.97	2790561.347	4.78	5040717.441	4.97	1745923.051	4.86	2993862	4.9	9480342.474	4.79	5138954.733
4.87	18542321.21	4.8	1742223.963	4.95	12857919.21	5.08	3350046.632	4.89	2490306.041	4.92	927330.715	4.89	9852461.932	4.84	1882518.194	4.8	2464159.257	4.9	9513413.032	4.99	2409760.321	4.88	4633093.886	4.92	2058178.906	5.14	4903972.74	4.82	12269086.29	4.86	1947808.494	5	9632132.797	4.88	3265408.771	4.92	1451001.835	4.97	7334082.896	4.81	3523443.631	4.96	3976255.117	5.24	4928329.97	4.9	6982292.371	4.78	8970391.774	4.93	2717217.86	4.78	10320981.35	5.21	1797626.103	4.87	1456489.192	4.84	4469330.126	4.87	1079904.713	4.96	2204497.795	4.9	4674521.612	4.91	8509858.904	4.94	10309400.96	4.95	1945307.099	4.96	4099981.501	4.96	2399991.274	5.03	5310168.991	4.93	6603943.29	5.03	5147725.594	4.98	1493058.802	4.99	8243901.283	4.82	2426156.003	5.02	2403821.324	5.02	7804178.656	4.88	3653000.188	4.9	4656963.279	4.87	7447436.304	5.04	3392235.931	4.89	1042854.276	5.06	2057222.42	4.81	2785663.058	4.92	2998011.232	5.11	7873306.034	5.04	2009859.737	4.86	2199267.379	4.79	8070367.833	4.82	3751753.982	5.03	2563275.245	4.89	8858653.885	4.91	2440234.29	4.92	1953100.186	4.91	1329929.775	4.85	4662557.948	4.84	5414834.62	5.11	1591160.553	4.97	4483887.974	4.87	2275737.218	4.95	5851824.315	4.86	12563094.67	5	24661801.94	4.98	12284820.29	4.88	1592802.781	5.01	5184742.049	4.95	12617806.5	4.91	2112751.898	5.01	4017561.802	4.99	4648711.353	4.82	3626744.32	5	3169250.019	4.94	14935351.87	4.95	3505130.881	4.82	3548331.315
5.01	5946274.994	4.83	1673207.766	5.09	7707042.554	5.14	3299107.38	4.95	8078456.049	4.96	2466338.978	5.02	3306666.824	4.87	3243407.729	4.82	5139641.403	4.97	2858299.052	5.04	3155123.328	4.91	2232083.433	4.96	3767954.745	5.21	1632270.817	4.9	7352480.401	4.93	3897293.814	5.09	3307714.478	4.91	13139928.28	4.96	6361023.964	5.01	2571287.32	4.84	2423807.603	5.04	14829823.12	5.37	4127988.492	4.95	9418353.563	4.87	3534082.143	5	8615047.492	4.83	4792577.614	5.24	5551680.268	4.9	8158473.151	4.91	9813935.704	4.92	4934312.628	4.98	8417681.088	4.94	4359425.617	4.95	3660079.007	4.98	14620004.77	5.02	3931913.534	5.03	1417703.303	5	4338025.934	5.07	2636234.165	5	5709987.531	5.08	4145397.965	5.09	1556126.896	5.05	4762552.743	4.86	2897599.348	5.05	2344758.054	5.11	5204083.633	4.92	2240037.35	4.93	2826826.17	4.91	3826598.266	5.08	6127697.458	4.94	4680561.592	5.1	2691391.089	4.84	3305382.881	4.96	1544900.388	5.18	821340.03	5.08	9020514.29	4.9	4628515.229	4.86	4781269.342	4.87	9667188.566	5.18	4793312.629	4.93	9209477.997	4.94	2157980.269	4.95	1684676.657	4.97	3975501.747	4.88	7771836.911	4.88	3188723.861	5.17	6810295.528	4.98	2360303.128	4.91	1731639.122	5.01	3882601.416	4.94	11163248.61	5.11	5880098.238	5.1	4904487.065	4.92	4937351.874	5.05	1917271.885	5	10854408.83	4.92	3474316.938	5.11	3183992.083	5.08	6670857.117	4.89	6260626.762	5.07	2997115.446	5	7403851.619	4.99	13494234.3	4.84	4209767.11
