reference	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S60	S61	S62	S63	S64	S65	S66	S67	S68	S69	S70	S71	S72	S73	S74	S75	S76	S77	S78	S79	S80	S81	S82	S83	S84	S85	S86	S87	S88	S89	S90	S91	S92	S93	S94	S95	S96	S97	S98	S99	S100	S101	S102	S103	S104	S105	S106	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126	S127	S128	S129	S130	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S146	S147	S148	S149	S150	S151	S152	S153	S154	S155																																																																																																																																																												
time 	area																																																																																																																																																																																																																																																																																																																						
12.15	1	5.064	1.536	5.056	3.365	9.734	0.477	5.052	6.666	5.042	7.526	5.246	4.258	5.052	1.048	5.051	11.209	5.527	1.035	5.67	0.392	5.061	0.933	9.738	0.67	4.336	0.438	4.799	0.356	5.544	1.927	6.401	0.268	9.733	0.505	9.732	0.607	5.539	1.05	5.057	2.117	9.738	0.263	5.055	2.883	5.051	1.599	5.729	0.267	5.051	7.458	5.243	0.815	5.058	0.719	5.677	0.282	5.056	0.793	5.54	1.306	5.056	0.813	5.542	1.187	5.246	0.647	5.542	1.364	5.542	1.324	5.539	1.291	5.544	1.613	5.055	2.345	5.543	1.381	9.735	0.991	5.543	1.801	5.054	6.951	5.243	0.498	5.668	0.459	5.539	1.194	5.543	1.366	9.74	0.418	5.052	5.316	4.798	0.302	5.539	1.331	5.541	1.233	5.541	1.142	5.053	9.161	5.051	10.308	5.539	1.343	5.54	1.685	5.061	0.28	7.937	0.254	5.54	1.179	5.541	1.588	5.54	1.318	6.019	1.006	5.535	1.266	5.057	0.511	5.053	6.657	4.799	0.652	5.54	1.064	5.541	1.045	5.541	1.036	5.058	1.21	10.567	0.734	5.54	1.145	9.736	0.934	5.055	1.987	5.058	0.409	5.05	8.851	5.541	1.264	5.057	0.507	5.057	0.642	5.542	1.212	5.049	12.766	6.4	0.316	5.058	0.895	5.24	0.745	9.749	1.084	5.248	1.716	5.048	6.282	5.543	1.768	5.057	1.09	9.739	0.436	5.055	3.597	5.045	7.424	5.05	16.16	5.058	0.701	5.052	10.024	5.543	1.108	5.541	1.288	5.541	1.473	7.924	0.439	5.249	0.718	5.253	1.435	5.243	0.892	5.245	0.696	5.544	1.511	5.54	1.36	5.537	1.509	5.537	1.386	7.923	0.427	5.526	1.557	5.543	1.654	5.079	0.702	5.053	6.726	5.544	1.388	5.544	1.558	5.051	9.795	5.051	7.655	10.567	0.615	9.74	0.263	9.738	0.48	5.058	0.428	5.051	9.748	9.72	0.45	6.004	0.348	5.658	0.404	6.392	0.316	5.043	6.941	10.551	0.749	5.044	8.538	5.53	1.412	4.341	0.344	5.533	1.963	9.723	0.675	9.725	0.694	5.534	1.414	9.719	0.507	5.533	1.132	5.53	0.885	5.535	1.119	9.723	0.571	5.539	1.396	4.06	0.359	5.534	1.428	5.531	0.997	5.064	0.646	4.792	0.364	5.531	1.015	5.065	0.669	5.045	5.895	5.042	8.167	4.877	0.273	5.045	12.587	5.044	7.611	5.043	9.024	5.539	1.425	6.385	0.436
13.6	1	5.673	0.706	5.652	0.658	10.56	0.91	5.542	0.659	5.533	0.786	5.543	1.342	9.734	0.624	5.543	1.118	5.741	1.389	6.402	0.399	9.742	3.355	12.635	0.44	4.789	1.546	4.889	0.289	5.759	2.36	9.734	1.094	14.325	0.824	9.799	0.427	5.753	1.325	9.738	1.612	10.566	0.76	6.457	0.225	5.659	0.468	7.923	0.494	5.541	0.691	5.538	1.327	6.406	0.224	6.024	0.296	9.733	0.987	5.754	1.592	5.668	0.916	5.756	1.494	5.541	1.368	5.756	1.718	5.757	1.649	5.754	1.629	5.759	1.967	9.372	0.889	5.758	1.646	10.565	0.649	5.757	2.169	5.551	0.846	5.535	1.179	6.014	0.356	5.754	1.479	5.757	1.646	10.557	0.242	5.666	3.524	4.888	0.452	5.753	1.642	5.755	1.533	5.755	1.433	5.543	0.509	5.541	0.579	5.753	1.661	5.755	2.111	5.242	1.67	9.729	3.526	5.754	1.449	5.755	1.915	5.754	1.661	8.993	0.241	5.75	1.564	9.737	0.382	5.542	0.679	4.889	0.305	5.755	1.276	5.756	1.313	5.755	1.278	9.744	1.277	11.007	0.229	5.753	1.423	9.802	0.356	5.667	0.83	9.735	0.87	5.541	0.532	5.755	1.538	5.667	1.222	9.737	0.678	5.756	1.477	5.54	0.725	9.73	2.863	5.668	0.512	5.536	1.321	10.48	0.28	5.544	1.458	5.539	0.649	5.757	2.125	5.67	1.09	14.328	0.766	5.667	1.848	5.534	0.773	5.544	1.029	5.67	0.88	5.543	0.726	5.757	1.394	5.755	1.563	5.755	1.819	24.158	0.768	5.543	1.395	5.547	1.877	5.537	1.264	5.54	1.275	5.759	1.828	5.754	1.653	5.752	1.86	5.752	1.682	21.482	0.289	5.74	1.929	5.757	1.994	5.543	1.612	5.544	0.652	5.759	1.694	5.758	1.937	5.543	0.949	5.542	0.771	12.149	1.066	10.567	0.848	10.56	0.676	9.735	0.749	5.54	0.912	10.55	0.615	9.719	0.457	6.393	0.451	9.716	2.095	5.537	0.978	10.99	0.205	5.531	0.851	5.744	1.723	4.793	0.653	5.746	2.387	9.789	0.263	9.791	0.469	5.748	1.684	10.549	0.717	5.747	1.383	5.744	1.129	5.748	1.363	10.552	0.657	5.752	1.744	4.136	0.489	5.747	1.763	5.745	1.223	5.532	1.716	5.046	6.792	5.744	1.223	5.531	1.537	5.531	0.587	5.532	0.514	5.041	14.964	5.536	0.787	5.53	0.763	5.531	0.823	5.753	1.771	9.591	1.271
15.01	1	6.015	0.509	5.756	0.51	12.146	1.192	5.644	1.18	5.639	1.168	5.755	3.864	10.176	0.222	5.644	2.479	5.888	0.306	9.735	1.752	10.188	0.22	13.629	0.213	4.879	0.596	5.052	8.526	5.906	0.588	9.802	0.732	15.011	0.515	10.175	0.23	5.901	0.275	9.806	0.317	12.148	1.185	6.617	1.491	6.396	0.373	21.481	0.411	5.644	1.292	5.752	1.972	9.735	0.904	6.41	0.504	10.175	0.253	5.901	0.378	6.015	0.818	5.903	0.296	5.755	1.855	5.903	0.387	5.904	0.369	5.901	0.361	5.906	0.505	9.737	2.424	5.905	0.405	10.706	0.36	5.903	0.542	5.672	4.751	5.749	1.95	6.401	0.504	5.901	0.332	5.904	0.381	11.038	0.315	5.754	0.51	5.05	12.744	5.9	0.377	5.901	0.335	5.903	0.319	5.643	1.71	5.64	1.995	5.9	0.398	5.901	0.506	5.538	1.872	10.178	0.328	5.9	0.323	5.902	0.479	5.901	0.383	9.742	1.714	5.896	0.393	10.565	0.947	5.645	1.109	5.052	12.936	5.902	0.296	5.903	0.28	6.04	0.592	10.185	0.238	11.273	0.316	5.901	0.325	10.178	0.219	6.016	0.469	9.802	0.435	5.644	1.243	5.901	0.347	6.014	0.688	9.804	0.413	5.903	0.34	5.638	2.453	9.8	1.1	6.016	0.302	5.75	1.832	10.573	0.895	5.757	2.522	5.646	0.816	5.903	0.513	6.017	0.473	15.013	0.285	5.757	0.41	5.637	1.448	5.641	3.545	6.016	1.344	5.643	1.929	5.904	0.283	5.903	0.363	5.902	0.446	25.422	0.279	5.757	1.945	5.761	2.939	5.751	1.988	5.754	1.832	5.906	0.433	5.901	0.383	5.899	0.463	5.899	0.399	22.744	0.226	5.887	0.45	5.905	0.489	5.757	1.946	5.649	1.036	5.906	0.396	5.905	0.464	5.643	1.587	5.646	1.292	13.203	0.271	11.008	0.258	10.649	0.218	10.564	0.664	5.64	1.748	12.134	1.059	10.161	0.266	9.716	2.153	9.787	0.848	5.656	4.355	12.134	1.334	5.632	1.97	5.891	0.423	4.884	0.571	5.894	0.59	10.55	1.197	9.889	0.209	5.895	0.387	10.99	0.205	6.031	0.659	6.028	0.466	5.895	0.302	10.693	0.212	5.899	0.39	4.263	24.614	5.894	0.458	6.027	0.567	5.659	0.366	5.54	1.421	6.026	0.866	5.744	1.896	5.634	1.08	5.631	1.984	5.535	2.108	5.632	2.952	5.632	1.659	5.631	1.741	5.9	0.426	9.712	1.339
26.57	1	6.402	0.522	6.617	1.045	12.63	0.312	5.755	1.071	5.747	1.244	5.905	0.364	10.466	0.237	5.756	1.579	6.027	0.624	9.803	0.614	10.29	0.232	14.326	1.592	5.04	19.131	5.554	1.185	6.044	1.188	9.9	0.388	17.544	0.266	10.556	1.312	6.038	0.608	10.181	0.687	12.63	1.032	7.939	0.781	9.73	1.967	22.741	0.33	5.755	1.165	5.899	0.375	9.802	0.427	9.743	2.495	10.246	0.351	6.039	0.796	6.401	1.029	6.041	0.725	5.902	0.373	6.039	1.034	6.042	0.805	6.038	0.769	6.043	1.026	9.806	0.77	6.04	0.966	12.02	0.26	6.041	1.124	5.759	0.754	5.896	0.347	9.734	1.52	6.038	0.701	6.035	1.467	11.14	0.29	6.014	2.247	5.55	1.866	6.036	1.03	6.039	0.723	6.04	0.672	5.756	0.856	5.754	0.946	6.037	0.782	6.039	1.076	5.751	3.241	10.464	0.674	6.038	0.702	6.04	0.928	6.039	0.837	9.809	0.395	6.035	0.732	11.031	0.503	5.756	1.047	5.544	1.429	6.04	0.607	6.04	0.626	7.416	1.158	10.29	0.231	12.149	1.387	6.039	0.673	10.561	1.38	6.401	0.675	10.178	0.257	5.755	0.84	6.039	0.744	6.399	1.664	10.18	0.213	6.038	1.082	5.754	1.124	9.897	0.582	6.402	0.412	5.897	0.365	10.659	0.205	5.905	0.409	5.753	1.043	6.03	2.038	6.401	1.219	20.72	0.824	6.017	1.254	5.749	1.193	5.757	1.346	6.407	0.899	5.757	1.081	6.042	0.654	6.04	0.755	6.039	0.902	25.706	1.76	5.905	0.407	5.908	0.559	5.899	0.329	5.902	0.338	6.043	0.943	6.038	0.807	6.036	0.922	6.036	0.803	24.159	1.111	6.024	0.974	6.043	0.993	5.904	0.49	5.757	1.073	6.043	0.838	6.043	0.977	5.757	1.459	5.757	1.187	13.626	1.005	11.274	0.326	11.037	0.361	12.148	1.126	5.754	1.417	12.32	0.292	10.231	0.221	9.786	1.109	9.885	0.456	5.744	0.886	12.847	0.249	5.744	1.258	6.029	0.86	5.545	2.316	6.025	1.942	10.636	0.271	10.168	0.245	6.032	0.831	11.255	0.244	7.404	1.365	7.401	0.797	6.033	0.646	12.01	0.248	6.036	0.842	4.852	11.696	6.03	0.872	7.402	0.902	5.746	2.035	5.659	6.077	7.401	0.977	5.89	0.438	5.745	0.873	5.744	0.774	5.655	6.95	5.747	1.105	5.744	1.18	5.744	1.253	6.037	0.87	9.781	0.691
0	0	7.937	0.288	7.418	0.27	12.859	0.214	6.456	0.335	6.032	0.258	6.041	0.815	10.561	0.704	5.903	0.407	7.402	1.255	9.902	0.323	10.478	0.595	15.013	0.65	5.544	3.209	5.67	7.623	6.649	0.834	10.078	0.204	20.72	0.4	10.645	0.415	7.415	1.215	10.252	0.943	13.095	0.235	8.711	0.334	9.798	0.332	23.234	0.218	6.458	0.383	6.037	0.773	10.178	0.308	9.81	0.772	10.561	0.76	7.414	1.563	6.575	0.341	7.416	1.081	6.04	0.829	6.402	0.622	7.418	1.644	6.403	0.305	6.648	0.554	9.903	0.401	7.418	1.608	12.149	1.52	7.416	2.08	6.019	2.91	6.034	0.748	9.802	0.754	7.413	1.416	7.418	1.587	12.634	0.637	6.285	0.709	5.667	10.272	7.413	1.622	7.414	1.479	7.415	1.404	6.461	0.243	6.23	0.282	7.415	1.572	7.414	2.233	5.899	0.569	10.561	1.209	7.413	1.407	7.415	1.854	7.413	1.642	10.183	0.583	7.412	1.412	11.136	0.232	6.04	0.262	5.642	2.38	7.416	0.903	7.417	1.208	7.464	0.432	10.566	1.235	12.337	0.229	7.413	1.389	10.649	0.355	9.734	2.63	10.46	0.238	6.23	0.295	7.414	1.474	7.934	0.738	10.461	0.233	7.415	1.45	6.039	0.372	10.07	0.207	9.735	0.776	6.035	0.791	10.72	0.202	6.042	0.852	6.038	0.306	6.647	0.655	7.939	0.649	21.483	0.719	6.287	0.256	6.033	0.325	5.904	0.333	7.939	0.662	6.018	2.65	7.417	0.968	7.417	1.504	7.414	1.765	25.897	0.851	6.043	0.838	6.045	1.171	6.037	0.761	6.039	0.75	6.407	0.269	6.404	0.257	7.414	1.827	6.403	0.283	25.423	0.613	7.397	1.942	7.419	2.06	6.041	1.072	6.043	0.314	6.41	0.236	7.418	2.009	5.904	0.364	6.04	0.311	15.011	0.594	12.023	0.353	11.139	0.394	12.332	0.366	5.902	0.343	13.058	0.362	10.547	0.882	9.885	0.624	10.162	0.606	6.004	2.63	13.056	0.493	5.891	0.285	7.4	1.807	5.663	9.586	6.637	1.545	11.017	0.376	10.551	1.574	6.397	0.238	12.133	1.29	7.45	0.514	7.921	2.428	7.405	1.365	12.135	1.406	7.407	1.732	5.287	137.284	7.402	1.81	7.923	2.812	5.892	0.528	5.746	1.134	7.922	2.941	6.028	0.945	6.449	0.288	6.011	0.624	5.744	2.242	6.015	1.101	6.391	0.394	5.891	0.272	7.407	1.785	9.878	0.307
0	0	8.375	0.654	7.94	0.882	13.067	0.281	6.616	1.929	6.398	0.356	7.418	1.135	11.034	0.265	6.028	1.217	7.448	0.462	10.179	0.418	10.57	1.1	15.453	0.537	5.659	18.324	5.757	0.804	7.42	2.495	10.178	0.425	21.48	0.473	11.033	0.826	7.461	0.466	10.467	0.291	13.206	0.596	9.737	0.83	10.174	0.296	24.156	1.387	6.616	2.145	7.413	1.464	10.249	0.202	9.907	0.352	11.133	0.241	7.461	0.591	7.062	0.702	7.938	3.128	7.417	1.564	7.417	1.579	7.465	0.585	7.413	1.545	7.419	2.08	10.082	0.205	7.465	0.615	12.305	0.424	7.463	0.737	6.291	0.992	7.408	1.478	9.9	0.367	7.461	0.509	7.464	0.569	12.857	0.207	6.4	4.22	5.754	1.346	7.46	0.586	7.461	0.538	7.461	0.506	6.614	1.55	6.458	0.285	7.462	0.595	7.461	0.833	6.037	1.16	10.646	0.202	7.46	0.534	7.463	0.701	7.461	0.587	10.254	0.558	7.459	0.543	11.272	0.309	6.459	0.354	5.758	2.101	7.937	2.779	7.463	0.449	7.938	2.724	10.656	0.505	13.204	0.459	7.46	0.51	11.012	0.37	9.804	0.659	10.56	1.556	6.614	1.55	7.46	0.536	8.707	0.422	10.562	1.46	7.464	0.525	6.23	0.451	10.175	0.8	9.802	0.507	7.412	1.48	12.159	0.971	7.417	1.659	6.457	0.31	7.417	2.012	8.711	0.458	22.528	0.543	6.406	1.481	6.396	0.298	6.022	1.52	8.712	0.339	6.233	0.327	7.938	2.89	7.464	0.525	7.461	0.632	26.476	0.658	6.406	0.234	6.411	0.433	6.403	0.297	7.414	1.429	7.42	1.785	7.414	1.551	7.46	0.656	7.414	1.565	25.705	1.845	7.444	0.671	7.465	0.759	6.649	0.462	6.46	0.342	7.42	1.793	7.465	0.714	6.017	1.771	6.403	0.289	16.314	0.273	12.151	1.81	12.15	0.485	12.631	0.55	6.039	0.512	13.192	0.369	11.019	0.55	10.162	0.679	10.232	0.386	6.274	0.764	13.192	0.535	6.025	0.555	7.448	0.632	5.75	1.431	7.403	2.445	11.26	0.243	10.638	0.427	7.405	1.683	12.619	0.26	7.924	3.218	7.973	0.239	7.452	0.543	12.32	0.355	7.454	0.609	7.041	235.352	7.448	0.643	7.973	0.283	6.026	1.39	6.005	4.108	7.973	0.312	7.401	2.019	6.603	1.91	6.392	0.613	5.894	0.763	6.223	0.337	6.447	0.423	6.027	0.388	7.453	0.631	10.032	0.639
0	0	9.129	0.269	8.711	0.352	13.205	0.636	7.04	0.375	6.452	0.437	7.939	3.098	11.137	0.367	6.402	1.672	7.924	2.829	10.247	0.235	10.657	0.316	15.898	0.246	5.746	2.03	6.016	4.528	7.467	0.929	10.247	0.258	22.527	0.28	11.135	0.643	7.937	2.797	10.566	1.458	13.626	1.276	10.08	0.439	10.277	0.404	25.422	1.42	7.04	0.418	7.46	0.495	10.561	1.775	10.186	0.606	12.146	1.119	7.935	3.617	7.94	0.599	7.989	0.336	7.464	0.522	7.463	0.524	7.939	3.661	7.46	0.545	7.465	0.741	10.182	0.909	7.939	3.698	12.63	0.867	7.938	4.716	6.405	5.739	7.456	0.535	10.179	0.503	7.935	3.285	7.939	3.592	13.067	0.218	6.561	0.273	5.91	0.5	7.935	3.685	7.935	3.336	7.936	3.049	7.416	0.437	6.612	1.702	7.936	3.547	7.935	5.319	7.414	2.061	10.703	0.61	7.935	3.282	7.936	4.342	7.935	3.829	10.47	0.248	7.934	3.267	12.02	0.383	6.618	2.131	5.905	0.609	7.988	0.298	7.938	2.828	7.989	0.294	10.714	0.217	13.626	1.267	7.934	3.153	12.149	1.267	9.9	0.329	10.648	0.449	7.416	0.456	7.935	3.352	8.981	1.047	10.65	0.426	7.937	3.202	6.455	0.367	10.245	0.564	9.898	0.262	7.459	0.474	12.318	0.438	7.464	0.514	6.613	1.851	7.464	0.7	8.986	0.697	22.739	0.882	6.615	0.693	6.45	0.453	6.232	0.419	8.985	1.632	6.407	0.403	7.989	0.335	7.938	3.378	7.936	4.101	26.538	4.236	7.419	1.645	6.652	0.653	7.412	1.059	7.461	0.477	7.467	0.661	7.46	0.566	7.935	4.018	7.459	0.584	25.897	1.025	7.919	4.45	7.941	4.649	7.418	2.069	6.619	1.954	7.466	0.644	7.94	4.555	6.458	0.507	6.458	0.445	21.479	1.303	12.336	0.246	12.632	0.858	13.073	0.267	6.457	0.499	13.612	1.02	11.121	0.395	10.232	0.39	10.446	0.634	6.392	4.028	13.612	1.376	6.392	0.56	7.921	4.108	5.906	0.563	7.45	0.859	12.138	1.369	11.023	0.628	7.453	0.595	12.846	0.236	7.973	0.351	8.063	0.575	7.926	3.278	12.619	0.494	7.927	4.053	8.026	0.354	7.922	4.154	8.065	0.646	6.392	0.94	6.276	1.078	8.064	0.691	7.448	0.679	7.026	0.307	6.604	1.154	6.004	4.574	6.394	1.216	6.601	2.299	6.447	0.475	7.927	4.173	10.157	0.425
0	0	9.751	2.003	9.737	1.142	13.623	1.327	7.417	0.541	6.607	2.248	7.989	0.385	12.147	0.954	6.458	0.663	7.976	0.318	10.464	0.519	10.715	0.543	17.544	0.382	5.902	0.973	6.288	1.492	7.942	5.736	10.456	0.332	22.739	0.418	11.432	0.264	7.988	0.311	10.652	0.416	13.756	0.204	10.568	0.817	10.46	0.273	25.705	2.733	7.417	0.627	7.935	3.338	10.648	0.508	10.255	0.365	12.305	0.39	7.984	0.37	8.338	1.027	8.08	0.744	7.938	3.526	7.939	3.56	7.988	0.408	7.935	3.34	7.94	4.747	10.28	1.365	7.989	0.382	12.857	0.551	7.984	0.525	6.468	0.308	7.93	3.474	10.248	0.276	7.984	0.357	7.988	0.406	13.173	0.203	6.615	1.584	6.014	5.94	7.984	0.398	7.985	0.369	7.987	0.307	7.937	1.349	7.038	0.32	7.985	0.421	7.981	0.552	7.461	0.708	11.036	1.086	7.984	0.369	7.984	0.449	7.984	0.377	10.566	1.006	7.984	0.358	12.148	1.519	7.042	0.419	6.018	4.042	8.079	0.66	7.988	0.311	8.08	0.634	10.781	0.284	14.36	0.372	7.984	0.321	12.336	0.205	10.179	0.447	11.037	1.027	7.937	1.316	7.985	0.365	9.057	1.146	11.038	0.695	7.986	0.351	6.615	2.216	10.453	0.745	10.178	0.324	7.933	3.333	12.643	0.625	7.938	3.643	7.037	0.345	7.939	4.521	9.062	0.785	23.241	0.269	7.416	0.363	6.609	2.134	6.4	1.827	9.061	1.598	6.459	0.456	8.081	0.696	7.988	0.363	7.984	0.386	27.823	0.205	7.466	0.572	7.422	2.257	7.933	3.057	7.936	3.169	7.941	4.146	7.935	3.538	7.984	0.449	7.935	3.594	26.476	0.649	7.966	0.47	7.988	0.515	7.465	0.713	7.043	0.361	7.941	3.904	7.989	0.469	6.618	3.267	6.617	2.25	23.636	0.946	13.204	0.563	12.859	0.276	13.205	0.49	6.616	2.91	14.312	1.01	12.134	1.146	10.442	0.546	10.543	2.426	6.605	1.302	14.311	1.433	6.446	0.503	7.969	0.436	6.007	7.445	7.923	5.698	12.619	0.458	11.126	0.405	7.926	3.936	13.079	0.34	8.066	0.773	9.718	0.92	7.976	0.347	12.848	0.271	7.974	0.429	8.687	3.348	7.97	0.421	8.695	0.228	6.631	0.977	6.394	5.754	8.694	0.638	7.922	4.45	7.402	0.485	7.401	0.41	6.22	0.425	6.45	0.486	7.025	0.477	6.605	2.679	7.976	0.372	10.227	0.256
0	0	9.803	1.52	10.08	0.388	14.322	2.659	7.938	1.575	7.033	0.438	8.082	0.793	12.332	0.282	6.616	3.521	8.067	0.667	10.555	1.326	11.598	0.226	20.722	0.332	6.005	10.701	6.402	7.38	7.989	0.603	10.56	2.445	24.155	3.651	11.499	0.243	8.079	0.658	10.71	0.315	14.324	1.614	10.707	0.362	10.557	1.564	25.896	1.448	7.939	1.773	7.984	0.365	11.006	0.336	10.473	0.67	12.856	0.274	8.078	0.878	8.387	0.655	8.71	0.6	7.988	0.404	7.988	0.375	8.082	0.875	7.985	0.371	7.988	0.532	10.377	0.241	8.082	0.869	13.068	0.588	8.08	1.161	6.621	1.527	7.979	0.384	10.462	0.473	8.077	0.785	8.082	0.854	13.251	0.899	7.414	0.802	6.226	0.374	8.077	0.895	8.077	0.784	8.079	0.709	8.079	0.363	7.413	0.491	8.078	0.858	8.078	1.28	7.935	4.641	11.137	0.959	8.077	0.781	8.079	1.017	8.077	0.919	10.655	0.314	8.076	0.78	12.335	0.239	7.418	0.6	6.232	0.29	8.71	0.299	8.08	0.673	8.711	0.295	12.158	1.296	15.013	0.828	8.076	0.752	12.631	0.508	10.249	0.387	11.138	0.762	8.08	0.36	8.077	0.801	9.221	0.654	11.139	0.519	8.08	0.759	7.038	0.399	10.555	4.249	10.247	0.23	7.984	0.388	12.872	0.332	7.988	0.413	7.414	0.53	7.986	0.501	9.227	0.533	23.75	0.418	7.938	1.09	7.032	0.45	6.457	0.544	9.225	0.936	6.617	1.694	8.711	0.564	8.081	0.807	8.078	0.981	30.253	0.366	7.941	3.774	7.469	0.763	7.984	0.36	7.985	0.374	7.989	0.449	7.984	0.397	8.078	0.97	7.984	0.378	26.538	5.063	8.061	1.076	8.082	1.136	7.939	4.494	7.419	0.572	7.989	0.458	8.082	1.103	7.041	0.605	7.042	0.42	24.096	0.383	13.626	1.54	13.067	0.28	13.625	1.097	7.039	0.589	14.997	0.919	12.32	0.357	10.541	2.691	10.633	0.899	7.399	0.645	14.658	0.239	6.604	2.337	8.063	0.985	6.278	2.425	7.971	0.623	12.85	0.268	11.426	0.201	7.974	0.407	13.19	0.468	8.696	0.3	10.69	0.371	8.068	0.792	13.057	0.455	8.069	1.016	8.847	363.119	8.065	0.996	9.718	1.741	7.402	2.136	6.456	0.315	9.717	2.226	7.97	0.462	7.923	1.402	7.923	1.839	6.274	1.309	6.556	0.389	7.4	0.658	7.024	0.562	8.069	0.995	10.435	0.303
