reference	S1	S2	S3	S4					
time 	area								
12.15	1	5.064	1.536	5.056	3.365	9.734	0.477	5.052	6.666
13.6	1	5.673	0.706	5.652	0.658	10.56	0.91	5.542	0.659
15.01	1	6.015	0.509	5.756	0.51	12.146	1.192	5.644	1.18
26.57	1	6.402	0.522	6.617	1.045	12.63	0.312	5.755	1.071
0	0	7.937	0.288	7.418	0.27	12.859	0.214	6.456	0.335
0	0	8.375	0.654	7.94	0.882	13.067	0.281	6.616	1.929
0	0	9.129	0.269	8.711	0.352	13.205	0.636	7.04	0.375
0	0	9.751	2.003	9.737	1.142	13.623	1.327	7.417	0.541
0	0	9.803	1.52	10.08	0.388	14.322	2.659	7.938	1.575
0	0	9.901	0.743	10.567	0.859	14.669	0.204	8.08	0.449
0	0	10.079	0.353	10.708	0.202	14.899	0.376	8.71	0.642
0	0	10.182	0.925	10.841	0.277	15.009	1.372	9.734	1.853
0	0	10.249	0.472	11.008	0.238	15.45	1.923	10.079	0.476
0	0	10.452	0.669	11.273	0.315	15.894	1.054	10.282	0.236
0	0	10.558	3.537	12.023	0.413	16.118	0.419	10.707	0.372
0	0	10.65	1.581	12.151	1.895	16.311	0.469	10.842	0.447
0	0	10.71	0.606	12.336	0.257	17.091	0.711	12.15	1.099
0	0	10.775	1.136	12.634	0.322	17.539	0.62	12.306	0.41
0	0	11.071	2.124	12.864	0.21	18.198	0.222	12.632	0.464
0	0	11.169	2.194	13.096	0.344	18.7	0.236	12.862	0.203
0	0	11.246	0.438	13.208	0.598	19.182	0.22	13.07	0.529
0	0	11.462	0.837	13.628	1.328	19.497	0.274	13.218	0.27
0	0	11.526	0.722	14.327	0.702	20.188	0.804	13.627	0.365
0	0	11.601	0.43	14.673	0.251	20.713	2.599	14.326	0.534
0	0	11.935	1.028	14.913	0.334	21.099	0.517	14.612	0.246
0	0	12.154	2.124	15.012	1.41	21.478	1.964	14.91	0.483
0	0	12.312	0.773	16.315	0.378	21.587	0.733	15.012	1.105
0	0	12.635	9.863	17.545	0.508	21.806	0.219	17.192	0.257
0	0	12.751	0.906	20.718	1.312	22.522	1.687	17.543	0.58
0	0	12.864	1.352	21.105	0.337	22.732	2.289	19.5	0.246
0	0	13.089	0.872	21.481	1.998	23.23	3.286	20.716	2.075
0	0	13.185	1.734	21.593	0.407	23.429	2.436	21.105	0.522
0	0	13.255	10.197	22.524	1.19	23.49	1.792	21.482	3.682
0	0	13.302	5.092	22.737	1.376	23.655	1.96	21.593	0.627
0	0	13.381	3.103	23.231	0.776	23.829	4.681	22.523	1.722
0	0	13.469	3.506	23.427	1.052	23.913	0.783	22.735	2.013
0	0	13.574	2.761	23.496	0.84	23.993	1.024	23.23	1.082
0	0	13.641	6.341	23.66	0.897	24.152	7.419	23.424	1.326
0	0	13.766	5.869	23.746	0.595	24.412	3.031	23.496	1.121
0	0	13.923	36.632	23.831	0.656	24.623	1.705	23.656	1.106
0	0	14.059	15.636	23.92	0.421	24.712	1.381	23.831	1.826
0	0	14.183	17.125	24.005	0.665	24.927	0.834	23.906	0.562
0	0	14.334	92.573	24.151	7.658	25.032	0.246	23.999	0.595
0	0	14.421	3.842	24.423	1.441	25.272	1.46	24.153	7.595
0	0	14.483	0.619	24.623	0.523	25.42	10.394	24.422	1.3
0	0	14.518	1.156	25.274	0.896	25.558	0.973	24.63	0.604
0	0	14.615	1.59	25.419	3.164	25.735	56.331	25.271	1.054
0	0	14.688	0.794	25.7	11.976	25.89	5.761	25.42	4.848
0	0	14.784	0.379	25.891	7.436	26.147	0.381	25.7	10.719
0	0	14.841	0.283	26.146	0.76	26.288	2.435	25.891	6.203
0	0	14.918	1.181	26.292	0.946	26.407	0.416	26.153	0.35
0	0	15.019	4.363	26.406	0.422	26.533	25.904	26.292	1.166
0	0	15.158	0.755	26.533	28.088	26.873	0.535	26.406	0.275
0	0	15.214	0.791	26.865	0.241	26.997	0.347	26.533	25.072
0	0	15.287	0.328	26.997	0.376	27.069	1.59	26.864	0.324
0	0	15.361	1.277	27.069	0.534	27.324	0.351	27	0.346
0	0	15.5	45.237	27.325	0.423	27.499	0.346	27.071	0.714
0	0	15.618	1.39	27.499	0.439	27.556	0.509	27.325	0.449
0	0	15.683	1.099	27.558	0.538	27.687	0.335	27.501	0.43
0	0	15.745	3.093	27.679	0.462	27.824	3.278	27.558	0.529
0	0	15.856	2.727	27.823	1.183	27.981	0.661	27.677	0.563
0	0	15.938	32.793	27.982	0.547	28.076	1.124	27.823	1.387
0	0	16.161	20.269	28.16	0.611	28.153	0.411	27.92	0.247
0	0	16.283	5.358	28.362	0.924	28.368	0.53	27.982	0.329
0	0	16.356	1.963	28.542	4.408	28.547	6.032	28.159	0.663
0	0	16.385	1.396	28.771	1.485	28.71	0.941	28.364	1.272
0	0	16.449	1.496	28.853	0.36	28.991	0.224	28.542	4.878
